,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Popularity,Popularity_Normalized
716,2017-05-13,BTCUSD,1698.19,1795.63,1608.0,1783.57,5515.73,9345102.51,68.29166666666667,6829.166666666667
717,2017-05-12,BTCUSD,1836.06,1837.98,1639.0,1698.19,6988.3,12169993.15,64.95833333333333,6495.833333333333
718,2017-05-11,BTCUSD,1782.0,1886.62,1753.35,1836.06,7051.4,12892974.48,56.125,5612.5
719,2017-05-10,BTCUSD,1721.75,1794.0,1685.0,1782.0,5282.25,9233232.02,51.79166666666666,5179.166666666666
720,2017-05-09,BTCUSD,1670.06,1768.68,1639.0,1721.75,8208.12,14029424.3,56.92,5692.0
721,2017-05-08,BTCUSD,1505.16,1677.4,1485.98,1670.06,7026.69,11165107.6,72.08333333333333,7208.333333333333
722,2017-05-07,BTCUSD,1535.42,1563.36,1358.0,1505.16,5583.02,8422939.18,62.125,6212.5
723,2017-05-06,BTCUSD,1518.03,1573.0,1513.71,1535.42,3477.4,5376502.6,63.58333333333334,6358.333333333334
724,2017-05-05,BTCUSD,1535.42,1597.9,1491.34,1518.03,7856.76,12170829.02,76.33333333333333,7633.333333333333
725,2017-05-04,BTCUSD,1513.6,1618.6,1450.0,1535.42,9161.89,14115244.35,81.08333333333333,8108.333333333333
726,2017-05-03,BTCUSD,1455.2,1523.78,1446.25,1513.6,5193.26,7678079.96,64.54166666666667,6454.166666666667
727,2017-05-02,BTCUSD,1397.23,1471.57,1381.44,1455.2,5159.03,7385110.27,65.4,6540.000000000001
728,2017-05-01,BTCUSD,1350.72,1438.87,1325.76,1397.23,5310.73,7345046.86,80.04166666666667,8004.166666666667
729,2017-04-30,BTCUSD,1335.93,1352.0,1309.37,1350.72,1777.93,2362020.17,62.5,6250.0
730,2017-04-29,BTCUSD,1328.64,1339.23,1312.0,1335.93,2124.3,2819284.37,63.375,6337.5
731,2017-04-28,BTCUSD,1333.7,1355.55,1292.14,1328.64,3525.72,4664278.78,70.16666666666667,7016.666666666667
732,2017-04-27,BTCUSD,1290.52,1345.47,1290.51,1333.7,3316.59,4378275.57,70.58333333333333,7058.333333333333
733,2017-04-26,BTCUSD,1276.07,1314.7,1269.0,1290.52,3355.07,4344643.61,68.41666666666667,6841.666666666667
734,2017-04-25,BTCUSD,1251.02,1280.0,1248.42,1276.07,1623.43,2056548.46,65.6,6559.999999999999
735,2017-04-24,BTCUSD,1242.48,1259.5,1234.1,1251.02,1587.45,1978572.59,76.875,7687.5
736,2017-04-23,BTCUSD,1235.49,1245.0,1228.0,1242.48,1303.85,1614833.63,71.875,7187.5
737,2017-04-22,BTCUSD,1249.0,1250.98,1212.0,1235.49,1658.48,2050844.46,74.04166666666667,7404.166666666667
738,2017-04-21,BTCUSD,1241.88,1254.91,1236.01,1249.0,1985.64,2473088.41,79.20833333333333,7920.833333333333
739,2017-04-20,BTCUSD,1204.2,1249.48,1204.2,1241.88,2311.65,2840285.01,77.66666666666667,7766.666666666667
740,2017-04-19,BTCUSD,1202.38,1212.56,1197.1,1204.2,1953.92,2354070.55,78.29166666666667,7829.166666666667
741,2017-04-18,BTCUSD,1197.5,1218.0,1197.1,1202.38,2141.0,2586864.06,83.36,8336.0
742,2017-04-17,BTCUSD,1181.0,1210.99,1175.0,1197.5,1856.27,2212182.78,74.25,7425.0
743,2017-04-16,BTCUSD,1175.01,1193.33,1175.0,1181.0,660.78,781637.3,67.875,6787.5
744,2017-04-15,BTCUSD,1187.99,1198.18,1170.06,1175.01,1139.76,1353099.6,66.29166666666667,6629.166666666667
745,2017-04-14,BTCUSD,1174.13,1197.99,1168.95,1187.99,1625.18,1929353.72,72.375,7237.5
746,2017-04-13,BTCUSD,1219.15,1219.5,1151.0,1174.13,2865.24,3397454.0,76.91666666666667,7691.666666666667
747,2017-04-12,BTCUSD,1223.5,1230.41,1210.54,1219.15,1511.15,1844545.75,77.125,7712.5
748,2017-04-11,BTCUSD,1211.23,1234.62,1198.0,1223.5,1381.26,1682894.45,79.12,7912.0
749,2017-04-10,BTCUSD,1211.0,1219.0,1189.45,1211.23,1624.63,1966461.73,74.45833333333333,7445.833333333333
750,2017-04-09,BTCUSD,1182.47,1220.0,1175.39,1211.0,1921.3,2304907.77,69.91666666666667,6991.666666666667
751,2017-04-08,BTCUSD,1191.88,1205.0,1170.82,1182.47,1226.29,1456701.49,70.5,7050.0
